"מספר בספר החינוך","תת-מספר","שם","קבוצה","סוג (עשה/לא תעשה)","החייבים במצוה","תדירות","רצון","ארוע","עצם או אדם","זמן החיוב","מקום החיוב","העונש למפר במזיד","העונש למפר בשוגג","המקור ביד החזקה - הלכות","המקור ביד החזקה - מספר המצוה","הערות","טעמי המצוה"
247,0,"לאכול נטע רבעי (פרי העץ בשנה הרביעית לנטיעתו) בירושלים","נטע רבעי",1,"אדם מישראל","עצם",,,"פרי העץ","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","מעשר שני ונטע רבעי","137",,"רצה האל להיות האדם מתעורר להלל הקב""ה בתחילת מבחר פרותיו,והאל ציונו לאכל אותם במקום אשר בחר לעבודתו כי שם ציוה ה' את הברכה."
248,0,"לא לאכול ולשתות כדרך זולל וסובא","זלילה וסביאה",0,"גבר מישראל","רצון","אכילה",,"מזון","רק כשהמקדש קיים","רק בארץ ישראל","סקילה","חטאת קבועה","ממרים","195",,"רוב חטאות בני האדם יעשו בסיבת ריבוי אכילה ושתיה."
249,0,"לא לנחש","ניחוש",0,"אדם מבני נוח","רצון","מאגיה",,,"רק כשהמקדש קיים","רק בארץ ישראל","מלקות","אין","עבודת כוכבים","33",,"מעשה המנחש הם שיגעון וסכלות גמורה ואין ראוי לעם קדוש ללכת אחרי דברי ההבל,ועוד שמטרת המנחש להדיח אדם מאמונת ה' ומתורתו."
250,0,"לא לעונן: שעה פלונית טובה לעשות בה מעשה פלוני","עונן",0,"אדם מבני נוח","רצון","מאגיה",,,"בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","32",,"מעשה המנחש הם שיגעון וסכלות גמורה ואין ראוי לעם קדוש ללכת אחרי דברי ההבל,ועוד שמטרת המנחש להדיח אדם מאמונת ה' ומתורתו."
251,0,"לא להקיף פאת הראש","פאת הראש",0,"גבר מישראל","עצם",,,"שער","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","43",,"כדי להרחיק אותנו מכל ענין ע""ז ובאה אזהרה מפורשת שיעשו בני האדם סימן בגופם מפני שהיא מזכרת לעוון."
252,0,"לא להשחית פאת זקן בגילוח של תער","פאת הזקן",0,"גבר מישראל","עצם",,,"שער","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","44",,"כדי להרחיק אותנו מכל ענין ע""ז ובאה אזהרה מפורשת שיעשו בני האדם סימן בגופם מפני שהיא מזכרת לעוון."
253,0,"לא לכתוב בבשרנו כתובת קעקע","כתובת קעקע",0,"אדם מישראל","עצם",,,"גוף","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","41",,"כדי להרחיק אותנו מכל ענין ע""ז ובאה אזהרה מפורשת שיעשו בני האדם סימן בגופם מפני שהיא מזכרת לעוון."
254,0,"מצוות היראה מן המקדש","יראת המקדש",1,"אדם מישראל","עצם",,,"מקדש","בכל זמן","בכל מקום","אין","אין","בית הבחירה","21",,"להכשיר הלבבות לעבודת המקדש מתוך כבוד המקום ויראתו."
255,0,"לא לעשות מעשה אוב","כשפי מוות",0,"אדם מבני נוח","רצון","מאגיה",,"אדם מת","בכל זמן","בכל מקום","סקילה","חטאת קבועה","עבודת כוכבים","36",,"אמונה במעשה האוב מסיתה את האדם מהידיעה שהכל מאת ה' ית' ,וכן יש באמונה זאת צד של ע""ז."
256,0,"לא לעשות מעשה ידעוני","ידעוני",0,"אדם מבני נוח","רצון","מאגיה",,,"בכל זמן","בכל מקום","סקילה","חטאת קבועה","עבודת כוכבים","9",,"אמונה במעשה האוב מסיתה את האדם מהידיעה שהכל מאת ה' ית', וכן יש באמונה זאת צד של ע""ז."
257,0,"מצוות כיבוד זקנים וחכמים","כיבוד זקנים",1,"אדם מישראל","אדם",,,"בעלי תפקידים","בכל זמן","בכל מקום","אין","אין","תלמוד תורה","209",,"עיקר בריאת האדם בעולם היא מפני החכמה,כדי שיכיר בוראו, ולכן ראוי שיכבד אדם מי שהשיג זאת."
258,0,"לא להונות במידות, וכל המידות בכלל","הונאה במידות",0,"אדם מישראל","רצון","מכירה",,"רכוש","בכל זמן","בכל מקום","אין","אין","גניבה","271",,"היושר והרחקת הגזל והתרמית מבין בני האדם,הוא ידוע לכל בן דעת."
259,0,"מצוות צידוק המאזניים והמשקלים והמידות","כלי מידה כשרים",1,"אדם מישראל","עצם",,,"רכוש","בכל זמן","בכל מקום","אין","אין","גניבה","208",,"היושר והרחקת הגזל והתרמית מבין בני האדם,הוא ידוע לכל בן דעת."
260,0,"לא לקלל אב ואם","כיבוד הורים בדיבור",0,"אדם מישראל","אדם","קללה",,"הורים","בכל זמן","בכל מקום","סקילה","חטאת קבועה","ממרים","85",,"ליסר הנבלים שהרימו יד במי שהביאם לעולם ועשה להם טובות, וכן מלך המשפט משליט סדר בארץ."
261,0,"מצווה שישרפו מי שיתחייב בשריפה","עונשי מוות",1,"שופט","אדם",,,"חוטא","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","סנהדרין","228",,"שלא יעיז פניו האדם לבוא על האשה שראוי לנהוג בה כבוד."
262,0,"לא ללכת בחוקות הגויים","חוקות הגויים",0,"אדם מישראל","אדם",,,"נכרי","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","30",,"כדי להתרחק מהם ולגנות כל הנהגותיהם."
263,0,"לא יטמא כוהן הדיוט במת, זולת בקרובים המבוארים","טהרת הכהן הפשוט",0,"כהן","ארוע",,"מוות אדם","אדם מת","בכל זמן","בכל מקום","מלקות","אין","אבל","161",,"הכהנים נבחרו לעבודת ה' על כן  ציוה להרחיקם מהמת שהוא אבי אבות הטומאה שהיא דבר נמאס ונאלח."
264,1,"שייטמאו הכוהנים לקרוביהם","טהרת הכהן הפשוט",1,"כהן","ארוע",,"מוות אדם","אדם מת","בכל זמן","בכל מקום","אין","אין","אבל","37",,"במקרה של מות אחד מקרוביו האהובים עליו תחייבנו התורה לעשות מעשים בעצמו אשר יעוררוהו לקבוע מחשבתו על הצער שהגיע אליו וישית ליבו לעשות תשובה."
264,2,"שיתאבלו כל אחד מישראל על שישה מקרוביהם הידועים","אבל על קרובים",1,"אדם מישראל","ארוע",,"מוות אדם","אדם מת","בכל זמן","בכל מקום","אין","אין","אבל","37",,"במקרה של מות אחד מקרוביו האהובים עליו תחייבנו התורה לעשות מעשים בעצמו אשר יעוררוהו לקבוע מחשבתו על הצער שהגיע אליו וישית ליבו לעשות תשובה."
265,0,"לא ישמש כוהן טבול יום עד שיעריב שמשו","עבודת טמאים במקדש",0,"כהן","ארוע","עבודה במקדש","טומאת אדם",,"רק כשהמקדש קיים","בירושלים","מיתה בידי שמים","חטאת קבועה","ביאת המקדש","76","כהנים זכרים ולא נקבות","הכהן הוא כשליח בין ישראל להקב""ה ולכן עליו להיות נקי גוף בתכלית בעת העבודה."
266,0,"לא ישא כוהן אישה זונה","נישואי הכהן",0,"כהן","רצון","בחירת בת זוג",,"כהן","בכל זמן","בכל מקום","מלקות","חטאת קבועה","איסורי ביאה","158",,"הכהנים נבחרו לעבוד את ה' לכן ראוי שיהיו נקיים יותר משאר העם, נתחיבו שלא לישא אשה זונה שמזגה רע שלא תטה אותו מדרכו הטובה."
267,0,"לא ישא כוהן אישה חללה","נישואי הכהן",0,"כהן","רצון","בחירת בת זוג",,"כהן","בכל זמן","בכל מקום","מלקות","חטאת קבועה","איסורי ביאה","159","כהנים זכרים בלבד","הכהנים נבחרו לעבוד את ה' לכן ראוי שיהיו נקיים יותר משאר העם, נתחיבו שלא לישא אשה חללה שמזגה רע שלא תטה אותו מדרכו הטובה."
268,0,"לא ישא כוהן גרושה","נישואי הכהן",0,"כהן","רצון","בחירת בת זוג",,"כהן","בכל זמן","בכל מקום","מלקות","חטאת קבועה","איסורי ביאה","160","כהנים זכרים בלבד","הכהנים נבחרו לעבוד את ה'ולכן ראוי שיהיו נקיים יותר משאר העם נתחיבו  שלא לישא  אשה כדי שיהיה נקי לפני הקב""ה."
269,0,"מצוות קידוש זרע אהרון","קידוש כהנים",1,"אדם מישראל","אדם",,,"כהן","בכל זמן","בכל מקום","אין","אין","כלי המקדש","32",,"נצטונו ל כבד את זרע משרתי ה' שמתוך כך נגיע לקידוש ה' ונקבע במחשבתנו כבודו ברוך הוא"
270,0,"לא ייכנס כוהן גדול באוהל המת","טהרת הכהן הגדול",0,"כה""ג","ארוע",,"מוות אדם","אדם מת","רק כשהמקדש קיים","בכל מקום","מלקות","חטאת קבועה","אבל","167",,"ענין הטומאה ראוי להתרחק מהכהנים שהם קדושים והכהן הגדול שהוא קדש קדשים לא התירה לו התורה טומאה לעולם."
271,0,"לא יטמא כוהן גדול בשום טומאה במת","טהרת הכהן הגדול",0,"כה""ג","ארוע",,"מוות אדם","אדם מת","רק כשהמקדש קיים","בכל מקום","מלקות","אין","אבל","168",,"ענין הטומאה ראוי להתרחק מהכהנים שהם קדושים והכהן הגדול שהוא קדש קדשים לא התירה לו התורה טומאה"
272,0,"מצוות כוהן גדול לישא נערה בתולה","נישואי כה""ג לבתולה",1,"כה""ג","ארוע","בחירת בת זוג","פעם בחיים","בתולה","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","איסורי ביאה","38",,"עיקר הטוב באדם שיהיה לו מחשבת טהרה ונקיות. ע""כ ראוי לכהן הגדול להדבק באשה שלא קבעה מחשבה באיש אחר זולתו"
273,0,"לא ישא כוהן גדול אלמנה","נישואי כה""ג לאלמנה",0,"כה""ג","רצון","בחירת בת זוג",,"אלמנה","רק כשהמקדש קיים","רק בארץ ישראל","מלקות","אין","איסורי ביאה","161",,"לפי שיש בנשואי האלמנה מחשבות זרות."
274,0,"לא יבעול כוהן גדול אלמנה ואפילו בלא קידושין","ביאת כה""ג לאלמנה",0,"כה""ג","רצון","יחסי מין",,"אלמנה","רק כשהמקדש קיים","בכל מקום","מלקות","אין","איסורי ביאה","162",,"לפי שיש במעשה זה מחשבות זרות."
